first_appeared_in_issue,name,origin,publisher
Requiem,Kwai,Other,Milestone
Volume 3,Psyduck,Animal,Nintendo
Manifest Destiny,H'Kurrek,Alien,Marvel
,Ard'Ran,Alien,Marvel
,Eudial,Human,Kodansha
"No. 1, 1995",King,Human,SNK Playmore
,Mimete,Human,Kodansha
,Viluy,Human,Kodansha
,Tellu,Human,Kodansha
Reborn,Malik Tarcel,Alien,Marvel
,Cyprine,Human,Kodansha
Reborn,Irani Rael,Alien,Marvel
Reborn,Qubit,Robot,Marvel
Reborn,Fraktur,Alien,Marvel
Reborn,Morrow,Alien,Marvel
The Question,Agent Carver,Human,Wildstorm
"Lady Liberators, Part 1",Darqon Par,Human,Marvel
Issue 5,Drift,Robot,Hasbro
"Yes, Flanders, There Is A Santa Claus; Scared Straight...To Jail;  Not A (Green, Slimy) Creature Was Stirring;  Hibernatin' Homer",Yes Guy,Human,Bongo
"Trial By Fire, Part 1: Burning Sensation",Frieda Goren,Human,DC Comics
No. 12,Chuck Wilson,Human,DC Comics
"Old Friends, New Foes..! / Progress",Green Lanterns of Progress,Alien,DC Comics
"Hollow, Part 4",Damon Baird,Human,Wildstorm
"Rise of the Olympian, Part 1: Plague and Pestilence",Michael D'Alessio,Human,DC Comics
"Rise of the Olympian, Part 1: Plague and Pestilence",Winston Goh,Human,DC Comics
"Expatriate, Part 1: That Wears the Crown",James Yarbrough,Human,DC Comics
"Rise of the Olympian, Part 1: Plague and Pestilence",Leanna Kelly,Human,DC Comics
,Madigan,Human,Top Cow
Overture,Sickle,Human,Marvel
Overture,Hammer,Human,Marvel
Overture,Isabel Ferguson,Human,Marvel
Overture,Ivan Pushkin,Human,Marvel
,Demonslayer,Human,Avatar Press
There Is No Heart Without You,Lilynette Gingerbuck,God/Eternal,Shueisha
There Is No Heart Without You,Emilou Apacci,God/Eternal,Shueisha
Howling,Franceska Mila Rose,God/Eternal,Shueisha
Howling,Cyan Sung-Sun,God/Eternal,Shueisha
Shrek It Out,Shrek,Other,KiZoic
Shrek It Out,Donkey,Animal,KiZoic
Shrek It Out,Fiona,Other,KiZoic
Ascending Evil Part 1,Dixie,Human,Harris Comics
Home is where the hate is,Dr. Midwinter,Human,Harris Comics
Three Septembers and a January,Joshua Abraham Norton,Human,Non-Fictional
,Mark Twain,Human,Non-Fictional
A Phillip Khrome Story,Philip Khrome,Human,Radical Publishing
A Phillip Khrome Story,Sonja Ando,Human,Radical Publishing
Volume 2,Martin Tenbones,Animal,Vertigo
One Hole in a Quilt of Madness ; On the Cheap,Cheapjack,Human,DC Comics
Inferno  ; Mob Rule!,Executrix,Human,DC Comics
The Network,Lilanne Stern,Human,DC Comics
,Lady Sensua,Alien,Tekno Comix
,Penaltra Blue,Alien,Tekno Comix
Raising the Dead Part 2,Fortune Teller,Human,Top Cow
,Crescent Moon,Human,DC Comics
,Harvest Moon,Human,DC Comics
,New Moon,Human,DC Comics
Negative Feedback; On the Road; The Unkindest Cut,Templar,Human,DC Comics
Resurrection,Requiem,Other,Nickel Editions
,Dolgen,Other,Top Cow
,Yoshimitsu,Cyborg,Namco Bandai
The Battle Of Manhattan: Conclusion,Ghazi Rashid,Human,Marvel
,CapitÃ£o Ninja,Human,Editora Trama
The Origin Story,Steelheart,Cyborg,Marvel
Battlegrounds!,Lady Turquoise,Human,DC Comics
Resurrection,Claudia Demona,Other,Nickel Editions
Dream Country: Calliope,Calliope,God/Eternal,In the Public Domain
"A Game of You, Part 1: Slaughter on Fifth Avenue",Luz,Animal,Vertigo
"A Game of You, Part 1: Slaughter on Fifth Avenue",Prinado,Animal,Vertigo
"A Game of You, Part 1: Slaughter on Fifth Avenue",Wilkinson,Animal,Vertigo
The No-Face Crimes,No-Face,Human,DC Comics
Part One of Three,Zoya Zelenko,Human,Dynamite Entertainment
Part One of Three,Feldwebel Scholz,Human,Dynamite Entertainment
Part One of Three,Sepp the Savage,Human,Dynamite Entertainment
"With a Vengeance!, Chapter Five: The Price of Our Sins",Big Bard,God/Eternal,DC Comics
The Forest of the Night,Arawn,Human,In the Public Domain
Verse Five: This is How the World Ends,Petrified Girl,Mutant,Wildstorm
Angels From On High,Seafarer,Mutant,Wildstorm
Verse Four: Horses,Private Warr,Human,Wildstorm
Blast from the Past!,Mite,Human,Wildstorm
The Late Great Planet Earth,Urumi,Human,Wildstorm
Verse Four: Horses,Ragamuffin,Other,Wildstorm
Citadel of Crime,Penniless Palmer,Human,DC Comics
"Maelstrom, Part 1",Maelstrom,Alien,DC Comics
Welcome to the Future...,Kol Skywalker,Human,Dark Horse Comics
,Unum,Other,Marvel
,Enmity,God/Eternal,Marvel
Nobody's Hero,Fear and Loathing,Other,DC Comics
Verse Four: Horses,Taipan,Mutant,Wildstorm
Verse Four: Horses,Skeleton Crew,Other,Wildstorm
Verse Four: Horses,Tinderbox,Mutant,Wildstorm
Verse Four: Horses,Third Rail,Human,Wildstorm
Part One: Enter the Wolverine,Black Dragon,Human,Marvel
Part One: Enter the Wolverine,Rock of the Buddha,Human,Marvel
Part One: Enter the Wolverine,Fist of Fire,Human,Marvel
Part One: Enter the Wolverine,Storm Sword,Human,Marvel
Part One: Enter the Wolverine,Soulstriker,Human,Marvel
Part Two: Black Dragon Death Squad to the Edge of Panic,Master Po,Human,Marvel
,Saint Sinner,Human,Marvel
Fragmentation,The Fallen,Robot,IDW Publishing
Cutting Edge!,Edge,Human,DC Comics
,El Bagual,Mutant,DC Comics
,Cimarron,Human,DC Comics
,Pyromancer,Human,Top Cow
,Lobizon,Human,DC Comics
,Yaguarite,Human,DC Comics
Family Ties,Norah Winters,Human,Marvel
Mr. Woo's Woes,Yomiko Readman,Mutant,Shueisha
Hero or Heel?,Jim Nastics,Human,self published
A Transylvanian Affair,Beanman,Human,self published
Cassie and Vlad meet the Re-Animator. Part 3 of 3,Kuma,Other,Devil's Due
,Janet Jackson,Human,Non-Fictional
,Pamela Anderson,Human,Non-Fictional
"The Amy Fisher Story ; The FBI vs. ""Big Paulie""",Amy Fisher,Human,Non-Fictional
,OJ Simpson,Human,Non-Fictional
,Tonya Harding,Human,Non-Fictional
,Jason Priestly,Human,Non-Fictional
,Luke Perry,Human,Non-Fictional
,Hammer,Human,Non-Fictional
,Michael Keaton,Human,Non-Fictional
,Christina Applegate,Human,Non-Fictional
,Demi Moore,Human,Non-Fictional
Betty Page And Jennifer Connely,Jennifer Connelly,Human,Non-Fictional
Kim Basinger and Michael Keaton,Kim Basinger,Human,Non-Fictional
,Michelle Pfeiffer,Human,Non-Fictional
,Patrick Swayze,Human,Non-Fictional
Paulina the Unauthorized Biography,Paulina Porizkova,Human,Non-Fictional
Spandau Ballet,Samantha Fox,Human,Non-Fictional
,Shannen Doherty,Human,Non-Fictional
Guns N Roses,Axl Rose,Human,Non-Fictional
Special Racial Issue,Bob Dylan,Human,Non-Fictional
Creeping Paranoia,Bono,Human,Non-Fictional
,David Lee Roth,Human,Non-Fictional
,David Bowie,Human,Non-Fictional
David Cassidy,Elton John,Human,Non-Fictional
,Eric Clapton,Human,Non-Fictional
Public Enemy - 2 Live Crew,Flavor Flav,Human,Non-Fictional
Crazy,Freddie Mercury,Human,Non-Fictional
N.W.A. / Ice Cube,Ice Cube,Human,Non-Fictional
,Jerry Garcia,Human,Non-Fictional
Prog 559,Jim Morrison,Human,Non-Fictional
Led Zeppelin,Jimmy Page,Human,Non-Fictional
Guns N Roses,Johnny Rotten,Human,Non-Fictional
"Special Summer ""Camp"" Issue",Keith Richards,Human,Non-Fictional
Bruce Springsteen,Max Weinberg,Human,Non-Fictional
,Pete Townsend,Human,Non-Fictional
,Phil Collins,Human,Non-Fictional
,Prince,Human,Non-Fictional
,Robert Plant,Human,Non-Fictional
,Rod Stewart,Human,Non-Fictional
Sex Pistols,Sid Vicious,Human,Non-Fictional
Guns N Roses,Slash,Human,Non-Fictional
Crazy,Bruce Springsteen,Human,Non-Fictional
,Steven Tyler,Human,Non-Fictional
Whitesnake/Warrant,Tawny Kitaen,Human,Non-Fictional
Creeping Paranoia,The Edge,Human,Non-Fictional
,Tommy Lee,Human,Non-Fictional
,Vanilla Ice,Human,Non-Fictional
,Vince Neil,Human,Non-Fictional
"Exiles, Part 2 / Never Trust a Demon! / No Title / The Power of Darkseid! / Luck be a Lady / Crack Up, Chapter Two: Easy Money",Microwavebelle,Human,DC Comics
"Exiles, Part 2 / Never Trust a Demon! / No Title / The Power of Darkseid! / Luck be a Lady / Crack Up, Chapter Two: Easy Money",Diamondette,Human,DC Comics
"Exiles, Part 2 / Never Trust a Demon! / No Title / The Power of Darkseid! / Luck be a Lady / Crack Up, Chapter Two: Easy Money",Hotshot,Human,DC Comics
"Exiles, Part 2 / Never Trust a Demon! / No Title / The Power of Darkseid! / Luck be a Lady / Crack Up, Chapter Two: Easy Money",Stretch,Human,DC Comics
"Exiles, Part 2 / Never Trust a Demon! / No Title / The Power of Darkseid! / Luck be a Lady / Crack Up, Chapter Two: Easy Money",Voice-Over,Human,DC Comics
"Exiles, Part 2 / Never Trust a Demon! / No Title / The Power of Darkseid! / Luck be a Lady / Crack Up, Chapter Two: Easy Money",Mister Muscle,Human,DC Comics
A Weapon To Unify,Tremor,Human,DC Comics
A Weapon To Unify,Splitshot,Human,DC Comics
A Weapon To Unify,Jongleur,Human,DC Comics
A Weapon To Unify,Hindenberg,Human,DC Comics
A Weapon To Unify,Lagomorph,Human,DC Comics
,Human Flying Fish,Human,DC Comics
,Mad Hatter,Human,Zenescope Entertainment
The Grotesque Adventure of the Green Goblin,Norman Osborn,Human,Marvel
,Al Bundy,Human,Now Comics
,Buck Bundy,Animal,Now Comics
,Bud Bundy,Human,Now Comics
Hog Heaven!,Jefferson D'Arcy,Human,Now Comics
,Marcy D'Arcy,Human,Now Comics
,Peggy Bundy,Human,Now Comics
,Kelly Bundy,Human,Now Comics
Mr. Woo's Woes,Nenene Sumiregawa,Human,Shueisha
,Odd Man,Human,DC Comics
Homeworld,Time Traveler,God/Eternal,Marvel
Camelot Falls,Khyber,God/Eternal,DC Comics
"""The New Deal""",Love Rocket,Human,Wildstorm
Shrek It Out,Lord Farquaad,Human,Dark Horse Comics
Shrek It Out,Dragon,Animal,Dark Horse Comics
,Gingerbread Man,Other,In the Public Domain
Shrek,Thelonious,Human,Dark Horse Comics
Whispers of the Earth;  Justice Across the Border;,Iman,Human,DC Comics
"Batman: Last Rites, Last Days of Gotham, Part 1 of 2",Millicent Mayne,Human,DC Comics
Bruce Wayne: Fugitive Part Five,Sensor,Human,DC Comics
,Donnie Wahlberg,Human,Non-Fictional
Opposites Attract,Sinistron,Robot,Amalgam Comics
Shadow War,Iota,Human,Milestone
Shoot the Moon,Starlight,Human,Milestone
Standing on the Verge of Getting It On,Gloria Mundi,Alien,Milestone
Preview,Blitzen,Mutant,DC Comics
Preview,Donner,Mutant,DC Comics
Preview,Twilight,Human,DC Comics
"The Big Bang Theory, Chapter 1: America Eats Her Young",Brick House,Mutant,DC Comics
"The Big Bang Theory, Chapter 1: America Eats Her Young",Third Rail,Mutant,DC Comics
Lodbrok's Hand,Lodbrok,Human,Top Cow
Lodbrok's Hand,Freydis,Human,Top Cow
Lodbrok's Hand,Grimur,Human,Top Cow
"Waiting for The End of The World, Chapter One: The Last Place On Earth",Hope Summers,Human,Marvel
Ghost Boxes,Deathlok-Class Security Unit,Cyborg,Marvel
Opposites Attract,Nickel,Robot,Amalgam Comics
Opposites Attract,Bismuth,Robot,Amalgam Comics
Opposites Attract,Antimony,Robot,Amalgam Comics
,Udates,God/Eternal,Crossgen
,Epophus,God/Eternal,Crossgen
,Rhomus,God/Eternal,Crossgen
,Honzu,God/Eternal,Crossgen
The Adventure of SLY COOPER,Inspector Carmelita Fox,Animal,DC Comics
,Superafrican,Human,Uisila Comics
,Lacerto,God/Eternal,Crossgen
Opposites Attract,Cobalt,Robot,Amalgam Comics
Opposites Attract,Iron,Robot,Amalgam Comics
"It's A Dirty Job, But...! / I, Lantern",Green Lantern of Sector 3009,Alien,DC Comics
Interlude! / Final Duties,Green Lantern of Sector 24,Alien,DC Comics
Sinestro Corps War Part 7: The Battle of Ranx,Green Lantern of Sector 42,Alien,DC Comics
Sinestro Corps War Part 7: The Battle of Ranx,Green Lantern of Sector 1066,Alien,DC Comics
,Cindy Crawford,Human,Non-Fictional
Time Heals All Wounds,Krallian Green Lantern,Alien,DC Comics
,Gabrielle Reece,Human,Non-Fictional
,Dillon Murphy,Human,Abstract Studio
Opposites Attract,Kokoro,Mutant,Amalgam Comics
Opposites Attract,Magneto,Mutant,Amalgam Comics
,Gennifer Flowers,Human,Non-Fictional
"Days Gone Bye, Pt. 2",Andrea,Human,Skybound
"Days Gone Bye, Pt. 3",Amy,Human,Skybound
"Miles Behind Us, Pt. 1",Julie,Human,Skybound
"Miles Behind Us, Pt. 1",Chris,Human,Skybound
Hello Cruel World,Captain Glory,Alien,Marvel
Hello Cruel World,Meree,Alien,Marvel
,Paris Hilton,Human,Non-Fictional
,Steppe,Alien,DC Comics
The Value of I / Nobler in the Mind,Rak Arranya,Alien,DC Comics
Sonar's Sonic-Atomic Attack / The Trial of Arkkis Chummuck: Indictment,Reever,Alien,DC Comics
A Transylvanian Affair,Max,Other,Pinnacle Comics
A Transylvanian Affair,Lyla,Human,Pinnacle Comics
A Transylvanian Affair,Doctor Franken,Human,Pinnacle Comics
A Transylvanian Affair,Gleeto,Other,Pinnacle Comics
A Transylvanian Affair,James,Human,Pinnacle Comics
The Lava Man,Bor,God/Eternal,In the Public Domain
A Transylvanian Affair,Baron Von Bloodsucker,Other,Pinnacle Comics
Hero or Heel?,Auf Auf Weidersein,Animal,self published
Hero or Heel?,Dr. McCarthy,Human,self published
Fever Dream,H'ronmeer,God/Eternal,DC Comics
,The Dead Rider,Human,Dark Horse Comics
,Knightmare,Human,Antarctic Press
,Sheba,Animal,Wildstorm
,Disperse,Human,Wildstorm
,Met-L,Robot,Wildstorm
Enter... Alexi!,Alexi Gregorian,Human,self published
Enter... Alexi!,Tim Bradley,Human,self published
"Miles Behind Us, Pt. 3",Otis,Human,Skybound
"Miles Behind Us, Pt. 4",Lacey Greene,Human,Skybound
"Miles Behind Us, Pt. 4",Arnold Greene,Human,Skybound
"Miles Behind Us, Pt. 4",Maggie Greene,Human,Skybound
"Miles Behind Us, Pt. 4",Billy Greene,Human,Skybound
"Miles Behind Us, Pt. 4",Rachel Greene,Human,Skybound
"Miles Behind Us, Pt. 4",Susie Greene,Human,Skybound
"Miles Behind Us, Pt. 4",Patricia,Human,Skybound
,Qanda,Human,DC Comics
Grampa Flanders,Plopper,Animal,Bongo
Growing Pains,Simon Trask,Human,Marvel
Children Of The Eighth Day,Flamingo,Mutant,Valiant
,Bill Maxwell,Human,Catastrophic Comics
Heulen Met De Vijand,Ka'ardum,Alien,Marvel
Volume 1,Gantz Sphere,Robot,Shueisha
,Dannette Boucher,Human,Top Cow
Witchblade & the Darkness,Bruce Wilder,Human,Top Cow
Gli uomini in nero,Martin Mystere,Human,Sergio Bonelli Editore
,Shine,Human,Top Cow
Children Of The Eighth Day,Kris Hathaway,Human,Valiant
Revolution,Tara Connor,Human,Dynamite Entertainment
,Kyle Reese,Human,Dark Horse Comics
When Thunder Fails!,Replicoid,Other,Marvel
I Am Dracula,Vlad the Impaler,Human,Non-Fictional
,Cull,Other,Top Cow
The Second Doom,Nebulos,God/Eternal,Marvel
,Sylvester P. Smythe,Human,Major Magazines
,The Weeper,Human,DC Comics
Prologue: Blood Feud,Sinestro Corps Soldier of Sector 2332,Alien,DC Comics
Part 3,Sam Witwicky,Human,IDW Publishing
Pain,Sarah Mohr,Human,Caliber Comics
Part 1,Mikaela Banes,Human,IDW Publishing
Part 1,William Lennox,Human,IDW Publishing
Issue Number One,Reginald Simmons,Human,IDW Publishing
Part 1,Robert Epps,Human,IDW Publishing
,Gavin Taylor,Human,Top Cow
Lighthouse Of The Possessed,Adam K'ad-Mon,God/Eternal,Marvel
Back To The Present,Tangerine,Mutant,Marvel
Prologue: Blood Feud,Zilius Zox,Alien,DC Comics
All Together Now,Panda Khan,Animal,Warp Graphics
Some Years Later. Part 1: Family Business,Nellie Lovett,Human,DC Comics
The Lazer!,Electric Eel,Alien,AAA Pop
,Ogre,Alien,Namco Bandai
,Hwoarang,Human,Namco Bandai
,Heihachi Mishima,Human,Namco Bandai
,Jun Kazama,Human,Namco Bandai
"""Ranch Lotta-Doh!""",Chicken Boo,Animal,DC Comics
'Twas The Day Before Christmas; The Taming Of The Screwy,Dr. Otto Scratchansniff,Human,DC Comics
'Twas The Day Before Christmas; The Taming Of The Screwy,Dot,Other,DC Comics
"""Ranch Lotta-Doh!""",Minerva Mink,Animal,DC Comics
'Twas The Day Before Christmas; The Taming Of The Screwy,Nurse,Human,DC Comics
'Twas The Day Before Christmas; The Taming Of The Screwy,Slappy,Animal,DC Comics
'Twas The Day Before Christmas; The Taming Of The Screwy,Wakko,Other,DC Comics
'Twas The Day Before Christmas; The Taming Of The Screwy,Yakko,Other,DC Comics
Antoine The Brave...?,General D'Coolette,Other,Archie Comics
The Interplanetary Olympics,Black Flame,Alien,DC Comics
,Renet,Human,IDW Publishing
,Savanti Romero,Mutant,IDW Publishing
,Lord Simultaneous,God/Eternal,IDW Publishing
Hard Choices,Superstar,Human,Valiant
The H.A.R.D. Way,Flatline,Human,Valiant
The Juice Of Heroes,Hotshot,Human,Valiant
Between A Rick And A Hard Place,Dusk,Mutant,DC Comics
Part One: The Arrival,Conductra,Mutant,Image
Part One: The Arrival,Toughlon,Mutant,Image
Part Two: Five Hundred for Fighting,Frat-Man,Human,Image
Part One: The Arrival,Shrubling,Human,Image
Part One: The Arrival,Strong-Bot,Robot,Image
Part Three: Rescue: En Route,Shaker,Mutant,Image
Part Two: Five Hundred for Fighting,Travel Agent,Mutant,Image
Part One: The Arrival,Human Shield,Mutant,Image
In Blackest Night / Guardian Angel / Worship / A Sense of Obligation / Yellow Fever / Many Are Called,Bynari,Alien,DC Comics
The Evil Entity,Shuri,Human,Marvel
The Mystery of Mister E!,Mister E,Other,Marvel
,Calie Liddle,Human,Zenescope Entertainment
The Man Who Killed The World / Alpha And Omega Part 10,Buck McHenry,Human,Valiant
Heatwave,Commodore Planet,Human,Marvel
Night of the Laughing Dead,Darrel Daniel,Other,Marvel
,Doggerel,Other,Marvel
Rasputin's Revenge!,Fangor,Other,Marvel
Rasputin's Revenge!,Fival Fuvnik,Human,Marvel
Night of the Laughing Dead,Garvey,Human,Marvel
,Jesus Ramos,Human,Marvel
,Pablo Enrile,Human,Marvel
Bang.,Prince Charming,Human,Marvel
,Ramone Santos,Human,Marvel
,Roberto Rodriguez,Human,Marvel
And When I Died...!,Zoe Daniel,Human,Marvel
To The Fifth Power,Fabrikant,Alien,Marvel
"""Viva Las Vegas""",Felicity,Mutant,Marvel
,Fetish,Human,Marvel
Family: Part 1 of 4,Flugron,Other,Marvel
Stormwatch: Team Achilles,Ajeet Patel,Human,Wildstorm
Where Are They Now,Ebony,Mutant,Wildstorm
Where Are They Now,Ivory,Mutant,Wildstorm
Where Are They Now,Ghetto Blaster,Mutant,Wildstorm
Madness,Garwood,Human,Marvel
Home are the Heroes!,Gary Cody,Human,Marvel
Gli uomini in nero,Java,Human,Sergio Bonelli Editore
Gli uomini in nero,Diana Lombard,Human,Sergio Bonelli Editore
Primal,Ginny Mahoney,Cyborg,Marvel
The First Foursaken Part 2: Family Lies!,Godfrey Calthrop,Mutant,Marvel
Nexus,Gordon Castle,Human,Marvel
,Fritz the Cat,Animal,Fantagraphics
Cradle Of Fire,Old Sam,Alien,Marvel
Day of Infamy . . . Day of Shame!,Golden Woman,Human,Marvel
Sentry Vs. Mountain Man; She Loved A Monster!!,Gtt-Chow,Alien,Marvel
I Have Loved the Stars Too Fondly to Be Fearful of the Night,Hazmat,Alien,Marvel
Amber Hunt is Mine,Heather Faraday,Human,Malibu
I Am Here,Heather Sante,Human,Marvel
Let He Who Desires Peace Prepare For War,Ubiquitor,Alien,Marvel
,Highwayman,Human,Marvel
Family,Cyburai,Cyborg,Marvel
After The Fox,Bad Betty,Human,Milestone
,Ruth,Other,Top Cow
Eudaemon; The Madwoman of the Secret Heart; Dominique,Eudaemon,Other,Dark Horse Comics
A Tale from Deep Time!A Tale from Deep Time!,Lilith,Alien,Top Cow
T-4: Prologue 1,Ansh'r,Alien,Top Cow
"The Mystery Walk, Part One: Prelude to the Walk",Magdelene,Other,Harris Comics
"Bloodshed, Part2",Ga-Ga,Other,Dynamite Entertainment
Super Nature,Bebeck,Human,DC Comics
...And So My World Begins! ; The Outland Pirates ; Underworld Jam Session!,Bel Juz,Alien,DC Comics
,Big Red,Animal,DC Comics
Super Nature,Anatole,Human,DC Comics
Red Trinity,Boleslaw Uminski,Human,DC Comics
Super Nature,Cassiopeia,Human,DC Comics
Red Trinity,Gregor Gregorovich,Human,DC Comics
Fables of the Bat-man,Bat-Man,Human,DC Comics
Reparations,Bubbasaurus,Mutant,DC Comics
The Shadow of the Bat Falls On... King Batman,King Batman,Human,DC Comics
A Phillip Khrome Story,Captain Blake,Robot,Radical Publishing
,Henry Ajax,Human,Radical Publishing
There Are Serpents Lurking In Paradise,Salamander K'ruel,Human,Marvel
Obscenity; The Braille Encyclopaedia,Satanika,God/Eternal,Verotik
Obscenity; The Braille Encyclopaedia,Dalkiel,God/Eternal,Verotik
Vol. 1,Genis Sage,Other,Mag Garden
Black Cross / Concrete / Mindwalk / Brighter!,Black Cross,Human,Dark Horse Comics
Terror on Terra Obscura!,Fighting Spirit,Human,America's Best Comics
Vol. 1,Sheena Fujibayashi,Human,Mag Garden
GN,Pistonhead,Other,Epic
The Root Of All Evil,Rock,Mutant,Valiant
GN,Dreamer,Other,Epic
GN,Camerahead,Other,Epic
GN,Barbie,Other,Epic
GN,CD,Other,Epic
"Six Degrees, Part 2 - All In The Family",Chanda Madan,Human,DC Comics
Part Three,China White,Human,DC Comics
Death Touch,Connie Noleski,Human,DC Comics
Trouble In Paradize,Gawd,God/Eternal,DC Comics
Closer To God; My Enemy's Enemy,Julia,Other,Epic
Superman: The Last God of Krypton,Cythonna,God/Eternal,DC Comics
The Stolen Atom Bomb,Dan Hunter,Human,DC Comics
,Wonderous Man,Other,DC Comics
,Dead Kid Fred,Human,DC Comics
Blood & Iron,Death Mayhew,Human,DC Comics
That Obscure Object of Desire,Deathwish,Human,DC Comics
Heaven And Hell Waiting In The Wings,Delengis Jarouq,Alien,DC Comics
Requiem,Demon Fox,Other,Milestone
"Devil's Brigade Part Seventeen: Hell Hath No Fury; Finale: Reckoning; This, I Saw",Kirsty Cotton,Human,Boom! Studios
Arion thru Willoughby Kipling,Cairo De Frey,Human,DC Comics
Legacy: part two,Icegirl,Mutant,Marvel
,Almighty Dollar,Human,Marvel
America's Future!,Jack Lang,Human,Marvel
"Rules of Engagement, Pt. 2",Jack White,Mutant,Marvel
The Day of Their Return,Blue Celestial,God/Eternal,Marvel
In a New York Minute,Lady Decadence,Alien,Wildstorm
In a New York Minute,Walking Ghost,Mutant,Wildstorm
In a New York Minute,Pagliacci,Human,Wildstorm
In a New York Minute,Ferryman,God/Eternal,Wildstorm
Ghosts,Dirty Bomb,Mutant,Wildstorm
Ladies' Night,Jeremiah Cain,Human,Wildstorm
"The Mystery Walk, Part Two: First Steps",Madek,Other,Harris Comics
The Idiot Root Part Two: The Queen of Hearts,Idiot,Other,DC Comics
The Inner War,Jeannie O'Connell,Human,Marvel
Part 1: Guns,Jeffrey Piper,Human,Marvel
Judgment Day,Jennifer Cabre-Rios,Human,Marvel UK
City of Mutants,Jennifer Nyles,Human,Marvel
Grace,Jeong Lee,Human,Marvel
,Little John Johns,Human,Marvel
,Sky-Wolf,Human,Marvel
Enter Kaliph,Stunner,Mutant,Valiant
One Small Step...,Ax,Human,Valiant
"Embedded, Part 3 / The Accused, Part 3 / Sleeper Cell, Part 1",Masked Rose,Human,Marvel
Earth!,Steve Coffin,Human,Marvel
Verotik Illustrated,Akuma-She,Other,Verotik
Satanika,Morella,Other,Verotik
"The Brimstone Trail, Part 2",Igrat,God/Eternal,Verotik
Sister Asylum,Jessica Chylde,Human,Darkchylde Entertainment
The Descent,Sage,Other,Darkchylde Entertainment
,Dr. Horrible,Human,Dark Horse Comics
,Captain Hammer,Human,Dark Horse Comics
,Abel,Human,Capcom
,Hydroman,Other,Dynamite Entertainment
,Penny,Human,Dark Horse Comics
Rage of the Red Lanterns Part 2,Warth,Alien,DC Comics
,Tiger Wraith,Other,Digital Webbing
,Ephemera,Other,Digital Webbing
,Isidro,Human,Hakusensha
,Serpico,Human,Hakusensha
The Gathering - Part One: A Call To Arms,The Visitor,Mutant,Valiant
From the sea comes Magnus to fight the evil robots who are the masters of men!,Leeja,Human,Dynamite Entertainment
Operation Disguise,Senator Clane,Human,Gold Key
Operation Disguise,Mekman,Human,Dynamite Entertainment
From the sea comes Magnus to fight the evil robots who are the masters of men!,1-A,Robot,Dynamite Entertainment
Steel Nation Part 1: Protector,Tekla,Robot,Valiant
Caveat Emptor,Beelzeboul,God/Eternal,Marvel
Ticket to BlÃ¼dhaven,Overgirl,Human,DC Comics
Time's Arrow (Part 1 of 3),Zhang Chin,Human,Marvel
,The Red Mist,Human,Image
Volume 2,Matt Neuenberg,Mutant,Wildstorm
,El Fuerte,Human,Capcom
Volume 1,Biogeneral,Human,Marvel
The Immortal One,Major Timbuk,Human,Valiant
Steel Nation Part 3: Traitor,Elzy,Human,Valiant
Invasion Part 1: Goph Rules  /  Invasion Part 2: Spirit Against The Flesh,Felina,Human,Valiant
Invasion Part 1: Goph Rules  /  Invasion Part 2: Spirit Against The Flesh,Slagger,Human,Valiant
,Gnasher,Animal,D.C. Thomson & Co.
"World's Greatest, Part One of Four",Debbie Green,Human,Marvel
,Daystar,Alien,Marvel
Clyde Wyncham,The Marquis of Death,Mutant,Marvel
"No. 17, 1971",Devilman,God/Eternal,Kodansha
The Day Of The Demolisher!,Janice Cord,Human,Marvel
Orisha,Oya,Human,In the Public Domain
Heatwave,Oshun,Human,Marvel
Heatwave,Chango,Human,Marvel
Father's Day,Eleggua,Human,Marvel
Heatwave,Ogun,Human,Marvel
Return from the Grave,Duncan Corley,Other,Marvel
,Nightcat,Human,Marvel
Naxxramas,Castillian,Human,Wildstorm
Naxxramas,Brannigan Thundermaul,Other,Wildstorm
Naxxramas,Ferelyn Bloodscorn,Other,Wildstorm
Naxxramas,Thane Kor'Thazz,Other,Wildstorm
Naxxramas,Lady Blaumeux,Human,Wildstorm
,Zack Overkill,Human,Icon Comics
Naxxramas,Sir Zeliek,Human,Wildstorm
Naxxramas,Sally Whitemane,Human,Wildstorm
Giant From Planet X,Xyrkol,Human,Valiant
Stone And Steel  /  Trial And Error,Willow Talltrees,Human,Valiant
The Master Plan Of Doctor Doom!,Yogi Dakor,Human,Marvel
Mr. Ego,Mr Ego,Human,Fawcett Publications
,Dr Mood,Human,Fawcett Publications
"Puzzled; Conduit; The Hunted, Part Three",Jeremy,Other,Boom! Studios
Exploded View,Glenda Sandoval,Human,Marvel
The Claws Of The Cougar!,Cougar,Other,Marvel
Beware the Claws of the Cat!,Zabo,Human,Marvel
Godchild / Alpha And Omega Part 9,Albert Pierce,Human,Valiant
Riot on Ryker's Island!,Super-Ego,God/Eternal,Marvel
Down Time Part One; Seven Seconds,Thriller,Mutant,DC Comics
A Christmas for Carol,Pinball Lizard,Animal,Marvel
Smoke And Mirrors (Part 3); Destiny Manifest;,Wretch,Human,Top Cow
Werewolf by Night,Baron Gregory Russoff,Infection,Marvel
Death of A Monster!,Baron Grigori Russoff,Infection,Marvel
Ik had een droom,Lance Gwynn,Other,Marvel
Hard Promises,L'Deroh,Alien,Marvel
Soul of a Gumshoe,Lefty,Mutant,Marvel
