first_appeared_in_issue,name,origin,publisher
TPB,Imperiex,God/Eternal,DC Comics
The Babe of Steel!; The Strange Bodies of Supergirl!,Kru-El,Alien,DC Comics
Pantheon Part One: Call of the Gods!,Mixcoatl,God/Eternal,In the Public Domain
The Flaming Doom!,Iron,Robot,DC Comics
,King Midas,Human,In the Public Domain
Wrought Iron,Natasha Irons,Human,DC Comics
...A Man's Best Friend,Shrewface,Human,DC Comics
...A Man's Best Friend,Mr. Bloat,Human,DC Comics
The New Fortress of Solitude Revealed!,Luna,Robot,DC Comics
Model Behavior,Dwight Kaywight,Human,Vertigo
Darktime,Waverider,Human,DC Comics
Superman's Fiancee Lois Lane,Liri Lee,Human,DC Comics
Kismet: The Road Not Taken,Kismet,God/Eternal,DC Comics
Death is the Black Racer!,Black Racer,God/Eternal,DC Comics
,Sith,Other,Antarctic Press
My Lady Maxima!,Maxima,Alien,DC Comics
Massacre,Massacre,Alien,DC Comics
Kancer,Kancer,Alien,DC Comics
Trial Run,Brainiac 13,Robot,DC Comics
Part 1,Lyle Crawford,Human,Marvel
Part 1,Takashi,Human,Marvel
,Desi The Monkey,Animal,Marvel
Boiling Point,Agent Pratt,Human,Marvel
Introspect Part 1,Jeremy Locke,Human,Marvel
Introspect Part 3,Nolan Curtis,Human,Marvel
Introspect Part 3,Valeriy Vasson,Human,Marvel
Introspect Part 1,Philip Carson,Human,Marvel
Introspect Part 3,Liam Fischer,Human,Marvel
,Dr. A. A. Zivancevik,Human,Lightspeed Press
,Dr. Hexoholoi Shar,Alien,Lightspeed Press
Nagananda,Garuda,God/Eternal,In the Public Domain
Finder,Ollie,Human,Lightspeed Press
Feast and Fowl,Onomatopoeia,Human,DC Comics
Spider-Man Wanted!,Vanessa Fisk,Human,Marvel
The Pipeline Ploy!,Snow-Job,Human,IDW Publishing
The Official G.I. Joe Handbook Part 1,Frostbite,Human,IDW Publishing
It's My Party and I'll Fight if I Want To,Veridium,Cyborg,DC Comics
The Warning of the Wonder Twins!,Seraph,Human,DC Comics
The Mind Killers,Tuatara,Mutant,DC Comics
The Mind Killers,Thunderlord,Mutant,DC Comics
The Mind Killers,Rising Sun,Mutant,DC Comics
The Warning of the Wonder Twins!,Impala,Human,DC Comics
The Warning of the Wonder Twins!,Godiva,Human,DC Comics
To Die A-Borning,Brickface,Human,DC Comics
,Franco Quinones,Human,Fantagraphics
Death in a Dark-Starred Void,Clryssa,Human,DC Comics
Carlton Canary,Mn'Torr,Alien,DC Comics
"Visions of Glory; I fought Groout, the creature who came from the cracks in the earth; the ""Moolah"" Murphy Goes Straight; Return on a Dark Night; The power... And the platitude!",General Glory (Wallace),Human,DC Comics
,Dick Clark,Human,Non-Fictional
Der Sandsturm der Metropolis verschlang,Jediah Rikane,Human,DC Comics
Negative Feedback; On the Road; The Unkindest Cut,Murphy,Human,DC Comics
,Kathie Lee Gifford,Human,Non-Fictional
,Ricky Martin,Human,Non-Fictional
Uneasy Lies the Crown,Whirling Dervish,Human,DC Comics
The Adventure of the Earthquake Terror,Jeeves,Human,DC Comics
Brickface the Wall-to-Wall Killer,Lowbrow,Human,DC Comics
,King Lear,Human,Non-Fictional
To Die A-Borning,Cindy Bloch,Human,DC Comics
